ASV_id	AKh_Mar	MS_Mar	LT_Mar	AR_Mar	LT_May	AKh_Jun	AR_Jun	MS_Jun	AKh_Jul	MS_Jul	LT_Aug	AR_Jul	AKh_Sep	LT_Sep	AR_Sep	Class
ASV19_Cyanobium_PCC-6307	70	42	0	52	26	55	220	36	100	1200	224	892	294	698	802	Cyanobacteriia
ASV18_hgcI_clade_acI-A6	133	78	137	89	173	448	75	323	528	643	417	193	497	335	474	Actinobacteria
ASV22_Flavobacterium_Flavo-A1	141	66	24	73	70	300	155	323	673	259	591	425	317	83	47	Bacteroidia
ASV23_Cyanobium_PCC-6307	100	90	167	119	69	59	416	56	137	303	337	870	101	184	291	Cyanobacteriia
ASV20_CL500-29_marine_group_Iluma-C1	200	203	295	178	165	218	815	142	213	59	104	240	125	118	207	Acidimicrobiia
ASV21_Fluviicola_bacV	165	166	39	135	343	263	249	233	461	46	121	189	349	253	205	Bacteroidia
ASV28_hgcI_clade_acI-A4	143	122	152	122	219	462	70	272	248	378	245	109	130	170	170	Actinobacteria
ASV30_Cyanobium_PCC-6307	43	55	55	17	23	17	83	0	0	15	97	381	322	594	1195	Cyanobacteriia
ASV27_Sediminibacterium_bacI-A1	261	294	295	333	203	235	40	285	130	139	140	50	172	253	42	Bacteroidia
ASV25_CL500-29_marine_group_acIV-B	240	231	277	207	152	221	630	110	149	54	88	225	44	118	57	Acidimicrobiia
ASV26_Sediminibacterium_bacI-A1	294	283	330	414	289	135	37	133	165	160	163	50	99	191	53	Bacteroidia_
ASV24_Flavobacterium_bacII-A	595	398	424	471	103	230	44	234	88	0	54	0	31	0	0	Bacteroidia_
ASV36_Cyanobium_PCC-6307	16	15	19	14	13	6	35	9	18	15	54	132	169	151	1811	Cyanobacteriia
ASV44_Rhodoferax_Rhodo	0	0	0	0	0	0	0	0	1155	706	199	190	9	66	18	Gammaproteobacteria
ASV29_Luteolibacter_verI-B	210	115	44	160	171	72	288	151	193	100	174	569	30	29	10	Verrucomicrobiae
ASV31_Luteolibacter_verI-B	142	64	17	122	124	90	260	199	239	103	197	691	0	0	8	Verrucomicrobiae
ASV35_env_OPS_17_bacVI	44	40	12	43	264	165	72	267	393	122	183	219	122	139	33	Bacteroidia
ASV34_hgcI_clade_acI-A5	106	105	162	89	142	243	112	144	176	183	181	84	135	100	118	Actinobacteria
ASV32_Candidatus_Methylopumilus_LD28	128	132	199	162	399	168	34	189	85	52	93	45	70	111	35	Gammaproteobacteria
ASV39_hgcI_clade_acSTL-A1	62	48	72	36	107	129	178	108	160	197	187	227	98	58	232	Actinobacteria
ASV37_Algoriphagus_Algor	45	45	54	51	260	72	36	111	199	126	568	64	65	48	17	Bacteroidia
ASV46_Acinetobacter_betII	0	0	0	0	0	13	334	18	176	320	227	189	38	201	88	Gammaproteobacteria
ASV42_hgcI_clade_acI-C2	129	140	187	114	136	256	57	112	93	40	57	38	67	64	38	Actinobacteria
ASV45_Flavobacterium_Flavo-A2	156	36	227	99	105	222	45	212	191	54	155	0	0	0	0	Bacteroidia
ASV47_Methylacidiphilaceae_LD19	71	63	84	89	148	41	27	63	0	52	45	23	380	297	100	Verrucomicrobiae
ASV43_Terrimicrobium_Xip-B1	77	171	0	154	182	71	37	159	155	70	111	123	44	68	53	Verrucomicrobiae
ASV51_hgcI_clade_acI-A1	54	49	77	36	84	152	21	101	155	183	119	39	106	132	100	Actinobacteria
ASV48_hgcI_clade_acI-C1	91	100	85	64	77	135	126	85	71	38	32	47	90	48	195	Actinobacteria
ASV50_Pseudarcicella_bacIII-A	58	43	114	73	229	92	18	96	128	93	95	47	59	52	44	Bacteroidia
ASV52_Opitutae_r_verI-B	83	15	119	45	42	16	0	17	27	29	625	65	0	13	0	Verrucomicrobiae
ASV54_Sphingorhabdus_planktonica_Pyxis	49	25	32	29	75	16	18	25	113	194	210	49	54	40	54	Alphaproteobacteria
ASV56_Roseiflexaceae	8	7	14	5	28	43	146	57	11	18	68	121	138	121	180	Chloroflexia
ASV49_Pseudomonas	103	14	77	767	0	0	0	0	0	0	0	0	0	0	0	Gammaproteobacteria
ASV57_Gemmataceae	18	29	17	24	46	25	183	50	32	13	27	75	44	78	236	Planctomycetes
ASV59_Opitutaceae_r_verI-B	54	40	25	59	16	113	19	139	251	0	69	87	0	13	0	Verrucomicrobiae
ASV68_Opitutaceae_r_verI-B	35	32	0	0	0	45	0	93	409	63	67	132	0	0	0	Verrucomicrobiae
ASV53_Armatimonas	19	8	0	0	205	71	166	124	72	10	30	144	0	8	0	Armatimonadia
ASV55_GKS98_freshwater_group_betIII-A1	52	32	107	35	41	51	314	21	55	0	23	104	0	0	0	Gammaproteobacteria
ASV69_Candidatus_Planktophila_acI-A3	41	17	0	12	16	55	13	65	104	287	38	0	91	54	35	Actinobacteria
ASV64_CL500-29_marine_group_acIV-C	32	27	47	26	57	29	48	25	57	131	62	61	95	78	37	Acidimicrobiia
ASV62_Flavobacterium_Flavo-A2	54	33	112	24	87	90	14	102	79	93	77	18	0	0	0	Bacteroidia
ASV73_CL500-29_marine_group_Iluma-A2	19	0	27	9	17	31	30	21	25	70	58	45	151	134	128	Acidimicrobiia
ASV77_Candidatus_Aquirestis_Aquir	5	0	0	5	2	0	6	4	41	13	96	316	95	43	98	Bacteroidia
ASV70_Flavobacterium_Flavo-A3	0	0	0	0	69	53	18	216	158	48	89	52	13	0	0	Bacteroidia
ASV58_Nitrospira	96	105	89	125	74	76	18	25	0	0	4	0	7	96	0	Nitrospiria
ASV87_Ilumatobacteraceae_Iluma-C1	0	0	0	0	0	0	0	0	0	0	0	0	124	106	464	Acidimicrobiia
ASV78_CL500-29_marine_group_Iluma-A2	30	29	49	21	36	16	37	19	23	16	43	16	135	72	148	Acidimicrobiia
ASV65_Ferruginibacter_bacI	54	57	32	77	46	71	44	59	79	15	38	32	39	23	10	Bacteroidia
ASV61_Opitutae_r_verI-B	90	163	0	131	36	0	0	0	0	101	36	35	0	57	0	Verrucomicrobiae
ASV82_Polynucleobacter_acidiphobus_PnecB	23	16	44	17	77	14	0	21	0	0	51	0	195	116	64	Gammaproteobacteria
ASV83_Microtrichales_Iamia	17	14	32	17	22	27	67	20	8	29	17	59	69	55	181	Acidimicrobiia
ASV60_Ruficoccus_r_verI-B	98	163	47	164	31	0	0	0	57	0	37	30	0	0	0	Verrucomicrobiae
ASV84_Candidatus_Methylopumilus_LD28	36	29	94	42	53	28	0	29	0	49	59	0	78	90	0	Gammaproteobacteria
ASV72_Candidatus_Planktophila_acI-A7	36	45	95	51	69	115	10	60	37	0	32	0	0	31	0	Actinobacteria
ASV76_Pedosphaeraceae_SH3-11_verI-B	25	52	12	56	95	31	8	30	18	0	46	28	62	59	35	Verrucomicrobiae
ASV101_Flavobacterium_bacII-A	0	0	0	0	0	0	0	0	130	175	36	184	0	22	0	Bacteroidia
ASV90_hgcI_clade_acI-A5	14	0	0	11	33	45	32	34	36	71	96	29	54	41	45	Actinobacteria
ASV79_NS11-12_marine_group_bacVI	58	49	0	92	61	24	10	21	36	0	31	29	43	57	17	Bacteroidia
ASV88_CL500-29_marine_group_acIV	38	42	40	35	22	56	39	27	0	27	27	16	57	43	54	Acidimicrobiia
ASV81_IMCC26256_acSTL-A	40	32	47	33	66	50	97	47	18	5	10	21	12	29	8	Acidimicrobiia
ASV103_Flavobacterium_chuncheonense_bacII-A	7	0	0	0	0	0	0	0	13	103	72	150	143	16	10	Bacteroidia
ASV80_Acinetobacter_betII	0	238	0	0	0	0	76	0	0	67	32	43	0	36	0	Gammaproteobacteria
ASV97_Calothrix_KVSF5	17	4	9	5	0	10	78	15	44	16	54	234	0	0	0	Cyanobacteriia
ASV89_Polynucleobacter_necessarius_PnecC	43	32	25	30	26	52	91	57	50	26	22	31	0	0	0	Gammaproteobacteria
ASV95_Cryomorphaceae	19	15	20	33	54	53	11	34	55	38	23	10	56	47	15	Bacteroidia
ASV106_Cyanobium_PCC-6307	0	0	0	0	0	0	0	0	0	0	0	149	51	55	212	Cyanobacteriia
ASV85_Rhodobacter_alfVI	28	38	35	47	89	48	19	22	44	18	33	17	0	27	0	Alphaproteobacteria
ASV113_Terrimicrobium_Xip-B1	0	0	0	0	0	0	0	0	0	0	0	74	62	90	220	Verrucomicrobiae
ASV98_Lacunisphaera_verI-B	35	37	54	52	49	23	8	0	37	0	28	11	43	41	18	Verrucomicrobiae
ASV114_Rhodoferax_Rhodo	22	0	0	0	11	12	0	21	55	62	40	47	56	79	29	Gammaproteobacteria
ASV119_hgcI_clade_acI-A4	15	9	22	0	13	30	0	29	0	125	45	0	54	26	38	Actinobacteria
ASV102_Rhodoferax_Rhodo	17	12	10	14	47	24	13	21	41	38	72	74	13	0	0	Gammaproteobacteria
